flyid,name,sugarR_200Hz_x30
720575940616885538,sugar_12,199.8
720575940612670570,sugar_18,199.06666666666666
720575940620900446,sugar_14,199.06666666666666
720575940637568838,sugar_3,199.03333333333333
720575940628853239,sugar_19,198.96666666666667
720575940617000768,sugar_5,197.96666666666667
720575940639198653,sugar_13,197.53333333333333
720575940632889389,sugar_7,197.23333333333332
720575940630797113,sugar_6,197.0
720575940611875570,sugar_21,196.6
720575940633143833,sugar_17,195.43333333333334
720575940630233916,sugar_2,194.46666666666667
720575940638202345,sugar_4,194.43333333333334
720575940621502051,sugar_9,194.0
720575940639332736,sugar_11,194.0
720575940617937543,sugar_15,193.53333333333333
720575940629176663,sugar_20,193.5
720575940624963786,sugar_1,193.26666666666668
720575940640649691,sugar_10,192.93333333333334
720575940621754367,sugar_8,192.33333333333334
720575940632425919,sugar_16,192.0
720575940622695448,,156.93333333333334
720575940629888530,,146.46666666666667
720575940627383685,,141.0
720575940619973712,,125.66666666666667
720575940615041430,,125.3
720575940618165019,tinctoria_4,124.43333333333334
720575940630868793,tinctoria_3,120.63333333333334
720575940626191306,,115.33333333333333
720575940638103349,rattle_2,115.0
720575940629778554,,114.8
720575940620874757,G2N_1_2,114.46666666666667
720575940652580086,,113.0
720575940632648612,usnea_2,109.73333333333333
720575940655014049,clavicle_2,100.13333333333334
720575940633277209,,98.2
720575940614763666,FMIn_2,94.36666666666666
720575940620274085,,93.96666666666667
720575940615671106,,93.43333333333334
720575940660219265,MN9_L,93.13333333333334
720575940616103218,phantom_2,92.9
720575940623352063,,91.0
720575940625045180,,90.66666666666667
720575940632047890,,89.03333333333333
720575940628598121,,88.86666666666666
720575940619877396,,88.5
720575940612906518,,88.26666666666667
720575940616018956,,87.3
720575940639285949,,85.93333333333334
720575940606866377,,85.66666666666667
720575940612611301,,84.33333333333333
720575940632118156,,84.26666666666667
720575940610054980,,83.06666666666666
720575940631918649,,82.0
720575940612064113,,80.26666666666667
720575940634645600,,78.43333333333334
720575940623211725,roundup_2,78.2
720575940628114684,,77.86666666666666
720575940635179871,,77.86666666666666
720575940619048827,tinctoria_1,77.33333333333333
720575940623210445,,76.86666666666666
720575940625874992,,76.7
720575940631349335,,76.03333333333333
720575940636053678,,75.9
720575940641366517,usnea_1,75.43333333333334
720575940625705930,,74.76666666666667
720575940638181092,,74.03333333333333
720575940612423922,,73.93333333333334
720575940617593233,,73.7
720575940621586854,,73.63333333333334
720575940630865724,,72.53333333333333
720575940625867056,,72.5
720575940633185567,,71.76666666666667
